"Ensign, John [Sen.-R-NV]",3
"Carney, Christopher P. [Rep.-D-PA-10]",3
"Abraham, Spencer [Sen.-R-MI]",3
"Bennett, Robert F. [Sen.-R-UT]",3
"Holt, Rush [Rep.-D-NJ-12]",3
"Jenkins, William L. [Rep.-R-TN-1]",3
"Lungren, Daniel E. [Rep.-R-CA-3]",3
"Musgrave, Marilyn N. [Rep.-R-CO-4]",3
"Hill, Baron P. [Rep.-D-IN-9]",3
"Smith, Adam [Rep.-D-WA-9]",3
"Waxman, Henry A. [Rep.-D-CA-30]",3
"Ballenger, Cass [Rep.-R-NC-10]",3
"Payne, Donald M., Jr. [Rep.-D-NJ-10]",3
"Wicker, Roger F. [Rep.-R-MS-1]",3
"Doggett, Lloyd [Rep.-D-TX-35]",3
"McCollum, Bill [Rep.-R-FL-8]",3
"Nadler, Jerrold [Rep.-D-NY-10]",3
"Bucshon, Larry [Rep.-R-IN-8]",3
"O'Halleran, Tom [Rep.-D-AZ-1]",3
"Ortiz, Solomon P. [Rep.-D-TX-27]",3
"Borski, Robert A. [Rep.-D-PA-3]",3
"Griffith, H. Morgan [Rep.-R-VA-9]",3
"Collins, Doug [Rep.-R-GA-9]",3
"Otter, C. L. (Butch) [Rep.-R-ID-1]",3
"Moynihan, Daniel Patrick [Sen.-D-NY]",3
0,3
"Farr, Sam [Rep.-D-CA-17]",3
"Barrasso, John [Sen.-R-WY]",3
"Fitzgerald, Peter [Sen.-R-IL]",3
"Rehberg, Dennis R. [Rep.-R-MT-At Large]",3
"Lewis, Ron [Rep.-R-KY-2]",3
"Duncan, Jeff [Rep.-R-SC-3]",3
"Royce, Edward R. [Rep.-R-CA-40]",3
"Sires, Albio [Rep.-D-NJ-13]",3
"Granger, Kay [Rep.-R-TX-12]",3
"Boehlert, Sherwood [Rep.-R-NY-24]",3
"LaHood, Ray [Rep.-R-IL-18]",3
"Altmire, Jason [Rep.-D-PA-4]",3
"Nadler, Jerrold [Rep.-D-NY-8]",3
"Schatz, Brian [Sen.-D-HI]",3
"Hanna, Richard L. [Rep.-R-NY-24]",3
"Kennedy, Joseph P., III [Rep.-D-MA-4]",3
"Maloney, Sean Patrick [Rep.-D-NY-18]",3
"Bunning, Jim [Sen.-R-KY]",3
"Chambliss, Saxby [Sen.-R-GA]",3
"Simmons, Rob [Rep.-R-CT-2]",3
"Wexton, Jennifer [Rep.-D-VA-10]",3
"Barrett, Bill [Rep.-R-NE-3]",3
"Fortenberry, Jeff [Rep.-R-NE-1]",3
"Quigley, Mike [Rep.-D-IL-5]",3
"Visclosky, Peter J. [Rep.-D-IN-1]",3
"Towns, Edolphus [Rep.-D-NY-10]",3
"Heinrich, Martin [Rep.-D-NM-1]",3
"English, Phil [Rep.-R-PA-3]",3
"Salazar, Ken [Sen.-D-CO]",3
"Clinton, Hillary Rodham [Sen.-D-NY]",3
"Olver, John W. [Rep.-D-MA-1]",3
"Snyder, Vic [Rep.-D-AR-2]",3
"McKinley, David B. [Rep.-R-WV-1]",3
"Bono, Mary [Rep.-R-CA-44]",3
"Barr, Andy [Rep.-R-KY-6]",3
"Roybal-Allard, Lucille [Rep.-D-CA-34]",3
"Talent, Jim [Sen.-R-MO]",3
"Archer, Bill [Rep.-R-TX-7]",3
"Hudson, Richard [Rep.-R-NC-8]",3
"Higgins, Brian [Rep.-D-NY-27]",3
"Slaughter, Louise McIntosh [Rep.-D-NY-25]",3
"Keller, Ric [Rep.-R-FL-8]",3
"Boozman, John [Rep.-R-AR-3]",3
"Talent, Jim [Rep.-R-MO-2]",3
"Radewagen, Aumua Amata Coleman [Del.-R-AS-At Large]",3
"Bono Mack, Mary [Rep.-R-CA-45]",3
"Crenshaw, Ander [Rep.-R-FL-4]",3
"Swalwell, Eric [Rep.-D-CA-15]",3
"Langevin, James R. [Rep.-D-RI-2]",3
"Boswell, Leonard L. [Rep.-D-IA-3]",3
"Boehlert, Sherwood [Rep.-R-NY-23]",3
"Bliley, Tom [Rep.-R-VA-7]",3
"Luetkemeyer, Blaine [Rep.-R-MO-3]",3
"Graves, Garret [Rep.-R-LA-6]",3
"Garrett, Scott [Rep.-R-NJ-5]",3
"Levin, Mike [Rep.-D-CA-49]",3
"Bilirakis, Gus M. [Rep.-R-FL-12]",3
"Lamb, Conor [Rep.-D-PA-17]",3
"Gowdy, Trey [Rep.-R-SC-4]",3
"Davis, Geoff [Rep.-R-KY-4]",3
"Pryce, Deborah [Rep.-R-OH-15]",3
"Thompson, Fred [Sen.-R-TN]",3
"Esty, Elizabeth H. [Rep.-D-CT-5]",3
"United States Courthouse\"\".\"",3
"Cravaack, Chip [Rep.-R-MN-8]",3
"Berry, Marion [Rep.-D-AR-1]",3
"Grijalva, Raúl M. [Rep.-D-AZ-3]",3
"LaTourette, Steven C. [Rep.-R-OH-14]",3
"Boucher, Rick [Rep.-D-VA-9]",3
"Stivers, Steve [Rep.-R-OH-15]",3
"Johnson, Eddie Bernice [Rep.-D-TX-30]",3
"Aderholt, Robert B. [Rep.-R-AL-4]",3
"Matheson, Jim [Rep.-D-UT-2]",3
"Gillmor, Paul E. [Rep.-R-OH-5]",3
"Hassan, Margaret Wood [Sen.-D-NH]",3
"Adams, Alma S. [Rep.-D-NC-12]",3
"Sablan, Gregorio Kilili Camacho [Del.-D-MP-At Large]",3
"Lucas, Frank D. [Rep.-R-OK-3]",3
"Brownley, Julia [Rep.-D-CA-26]",3
"Posey, Bill [Rep.-R-FL-8]",3
"Akin, W. Todd [Rep.-R-MO-2]",3
"Shaw, E. Clay, Jr. [Rep.-R-FL-22]",3
"Gallego, Ruben [Rep.-D-AZ-7]",3
"Booker, Cory A. [Sen.-D-NJ]",3
"McClain, Lisa C. [Rep.-R-MI-10]",3
"Hall, John J. [Rep.-D-NY-19]",3
"Kolbe, Jim [Rep.-R-AZ-8]",3
"Hastings, Alcee L. [Rep.-D-FL-23]",3
"Hartzler, Vicky [Rep.-R-MO-4]",3
"Tanner, John S. [Rep.-D-TN-8]",3
"Reynolds, Thomas M. [Rep.-R-NY-27]",3
"Kilmer, Derek [Rep.-D-WA-6]",3
"Delgado, Antonio [Rep.-D-NY-19]",3
"Kaine, Tim [Sen.-D-VA]",3
"Grimm, Michael G. [Rep.-R-NY-13]",3
"Wamp, Zach [Rep.-R-TN-3]",3
"Kucinich, Dennis J. [Rep.-D-OH-10]",3
"Heck, Denny [Rep.-D-WA-10]",3
"Kohl, Herb [Sen.-D-WI]",3
"Murphy, Stephanie N. [Rep.-D-FL-7]",3
"Kuster, Ann M. [Rep.-D-NH-2]",3
"Begich, Mark [Sen.-D-AK]",3
"Bishop, Timothy H. [Rep.-D-NY-1]",3
"\"Pickering, Charles W. \"\"Chip\"\" [Rep.-R-MS-3]\"",3
"Rothman, Steven R. [Rep.-D-NJ-9]",3
"Ramstad, Jim [Rep.-R-MN-3]",3
"McInnis, Scott [Rep.-R-CO-3]",3
"Meng, Grace [Rep.-D-NY-6]",3
"Trone, David J. [Rep.-D-MD-6]",3
"Wilson, Heather [Rep.-R-NM-1]",3
"Kirkpatrick, Ann [Rep.-D-AZ-1]",3
"Larsen, Rick [Rep.-D-WA-2]",3
"Courtney, Joe [Rep.-D-CT-2]",3
"Doyle, Michael F. [Rep.-D-PA-14]",3
"Emerson, Jo Ann [Rep.-R-MO-8]",3
"Cárdenas, Tony [Rep.-D-CA-29]",3
